Number of Reviews,Channel,Brand,Source Name,Item ID,Product_ID,Catalog,Stage of Development,Data Cycle,Source Product Identifier,Brand Raw,Entity Type,Link,Title,Description,About,Product Category,Source Ingredient,Relevancy,Relevancy 1,Final Relevancy,Solution Type,Geography,Rating,Configuration Name,Name,ASIN,rand_id
0,Amazon USA,Urban Cheesecraft,Amazon USA,Amazon USA_20190523_123461,Product_20190523_78395,Product,Product,2019 Q1,B07J23Z36Z,Urban Cheesecraft,Brand,https://www.amazon.com/dp/B07J23Z36Z,URBAN CHEESECRAFT ALL-NATURAL DAIRY-FREE CREAMY MAC SAUCE MAKING MIX 1.94 OZ.,"You’re about to have a ton of fun as a new dairy-free sauce maker! The All-Natural Dairy-Free Mac and Cheese Sauce Making Kit requires no aging or culturing required. This easy-to-use kit comes with vegan/paleo ingredients to make your own cheese sauce - ingredients like nutritional yeast, spices, gluten-free tapioca powder and plant-based lactic acid. The easy-to-follow instructions will guide you completely and you can experiment further (nuts, seeds, veggies or white beans). You won't believe how easy homemade cheese sauce can be! A batch yields more or less 1.5 cups of creamy cheese sauce depending on your chosen ingredients.","About the product Tapioca Flour, Nutritional Yeast (Fortified, Inactive Yeast), Sea Salt, Spices (Smoked Paprika, Mustard Powder), Lactic Acid (Plant Based), Onion Powder More","Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes",,Nope;Yes,,Yes,General Beans,USA,,Amazon Products,,B07J23Z36Z,0.363731965
0,Amazon USA,Manitou Trading Company,Amazon USA,Amazon USA_20190523_126120,Product_20190523_81054,Product,Product,2019 Q1,B00L4AXIWW,Manitou Trading Company,Company,https://www.amazon.com/dp/B00L4AXIWW,"Manitou Trading Company Porcini Risotto, 15-Ounce",We designed an elegant blend of our Arborio rice and premium porcini mushrooms with traditional seasonings as a quick way to create classic risotto with our Funghi Porcini Risotto.,"About the product Non GMO Gluten free, All natural Mild rice with fragrant, woodsy mushroom flavor Add a healthy serving of steamed vegetables for a hearty vegetarian meal Shipped from a BRC (A rated) facility More","Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Risotto",,Yes,,Yes,General Rice,USA,,Amazon Products,,B00L4AXIWW,0.070587734
11,Amazon USA,Bear Creek,Amazon USA,Amazon USA_20190523_121721,Product_20190523_76655,Product,Product,2019 Q1,B00V6HD1VQ,Bear Creek,,https://www.amazon.com/dp/B00V6HD1VQ,"Bear Creek Rice Mix, Creamy Chicken, 11.2 Ounce (Pack of 6)","Color: Creamy Chicken High in the Heber Valley of the Wasatch Mountains, Bear Creek began in some pretty simple country kitchens, using homemade recipes and only the finest ingredients to create hearty soups and dishes that won raves. Soon folks wanted to be able to purchase these dry mixes at their local stores. As word of mouth spread, people from far and wide couldn’t get enough of these great tasting recipes. Today, Bear Creek continues the tradition of delivering delicious, satisfying soups just like mom used to make. We still use only the highest quality ingredients and our own special blend of spices. By making them so simple to prepare yet so hearty and satisfying, we’ve created the perfect meal occasion for the whole family. Enjoy them as is, or make them your own by adding your favorite fresh vegetables or grilled meats. With each tasty bite of our hearty rice dishes, you’ll discover that they’re made with the same care and the same quality ingredients that go into our soups and pastas. Easy to make, they are the perfect complement to any family meal.",About the product Delightful blend of hearty rice and pasta A rich creamy chicken flavored sauce Slivers of baby carrots and a touch of seasoning Easy to prepare mix 0 grams trans fat More,"Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Seasoned Rice",,Nope;Yes,,Yes,General Rice,USA,3.4,Amazon Products,,B00V6HD1VQ,0.17405075
0,Amazon USA,Tasty Bite,Amazon USA,Amazon USA_20190523_126087,Product_20190523_81021,Product,Product,2019 Q1,B06XJNKC27,Tasty Bite,Company,https://www.amazon.com/dp/B06XJNKC27,"Tasty Bite Vegetable Tikka Masala 10 oz each (5 Items Per Order, not per case)","Fun & Unique Meals from Around the World! Tasty Bite Vegetable Tikka Masala 10 oz each (5 Items Per Order, not per case) A delicious hot dish, ready in minutes, our tikka masala combines simmered cashews with potatoes, carrots, tomatoes, peas and Indian spices Serve it over a fluffy bed of rice for a satisfying vegetarian entree Great for Meals, Holidays, Parties","About the product A delicious hot dish, ready in minutes, our tikka masala combines simmered cashews with potatoes, carrots, tomatoes, peas and Indian spices Serve it over a fluffy bed of rice for a satisfying vegetarian entree Great for Meals, Holidays, Parties Each Order Contains 5 Item in Total, Not per case More",,,Yes,,Yes,General Peas;General Rice,USA,,Amazon Products,,B06XJNKC27,0.087303768
68,Amazon USA,Kraft Foods,Amazon USA,Amazon USA_20190523_156233,Product_20190523_111167,Product,,2019 Q1,B001BGTRTW,Kraft,Company,https://www.amazon.com/dp/B001BGTRTW,"Minute Instant Enriched Long Grain White Rice, 72oz",Minute instant,,Grocery & Gourmet Food › Pantry Staples › Dried Grains & Rice › White,,Yes,,Yes,General Rice;White Rice,USA,4.2,Amazon by ASIN,,B001BGTRTW,0.914867566
0,Amazon USA,Evaxo,Amazon USA,Amazon USA_20190523_123120,Product_20190523_78054,Product,Product,2019 Q1,B07KNXGJF7,evaxo,Brand,https://www.amazon.com/dp/B07KNXGJF7,"Expect More Tillamook Creamy Alfredo Sauce Starter, 3 ct. / 19.5 Oz.","Cheddar Cheese (Cultured Milk, Salt, Enzymes), Parmesan Cheese (Cultured Pasteurized Milk, Salt, Enzymes), Monterey Jack Cheese (Cultured Pasteurized Milk, Salt, Enzymes), Potato Starch (Added to prevent caking), Tapioca Starch, Garlic Powder, Onion Powder, Sodium Citrate, Lactic Acid, Spices, Xanthan Gum, Locust Bean Gum, Guar Gum, Natamycin (Natural Mold Inhibitor).","About the product Tillamook Creamy Alfredo Sauce Starter, More","Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Macaroni & Cheese",,Nope;Yes,,Yes,General Beans,USA,,Amazon Products,,B07KNXGJF7,0.548184923
0,Amazon USA,Generic,Amazon USA,Amazon USA_20190523_121523,Product_20190523_76457,Product,Product,2019 Q1,B07PBCZ8CK,Generic,Company,https://www.amazon.com/dp/B07PBCZ8CK,"Annie's, Rice Shells & Creamy White Cheddar (Pack of 14)",Enjoy Annies Homegrown Rice Shells And Creamy White Cheddar Gluten Free. Are You Sensitive To Wheat And Gluten? If So Annies Has A Product Just For You. We Have Combined Gluten-Free Rice Pasta With Our Popular Time-Tested White Cheddar Cheese To Create Annies Gluten-Free Rice Shells And Creamy White Cheddar.The Least Allergenic Of All Grains Rice Is Steeped In History. It Has Fed More People Over A Longer Period Of Time That Any Other Crop. Archeologists Tell Us That Rice Has Been Feeding People For As Long As 7000 Years And Is Still A Staple For Two-Thirds Of The Worlds People.We Hope That Our Combination Of U.S. Grown And Produced Rice Pasta And Annies Legendary White Cheddar Cheese Becomes A Welcome Comfort Food And Staple For You And Your Family. Be Green Help The Earth Live Is A Campaign We Started In 1989. Its Not About Any Particular Organization Or Corporation Or Trying To Get Anyone Elected. Be Green Simply Lets People Know That Youre An Earth Advocate And That You Care About What Happens To Our Wondrous Blue And Green Planet. As The Stewards Of Our Fragile Planet We Humans Need To Unite And Speak Out On Behalf Of All Earths Inhabitants From Plankton To Polar Bears To Whales To Redwoods. We Are All Interconnected. We All Share The Same Home. Displaying A Be Green Sticker Gives You This Voice. Be Greens Are Everywhere And Were Encouraged By And Proud Of This Growing Phenomenon. The More Be Greens Out There The Louder Our Voice. Help The Earth To Live. Help To Make A Change. Lets Keep This Ripple Going. (Note: Description is informational only. Please refer to ingredients label on product prior to use and address any health questions to your Health Professional prior to use.Specialty Dietary Needs : Gluten Free,,"Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Macaroni & Cheese",,Yes,,Yes,General Rice,USA,,Amazon Products,,B07PBCZ8CK,0.0599545
129,Amazon USA,Bob's Red Mill,Amazon USA,Amazon USA_20190523_121471,Product_20190523_76405,Product,Product,2019 Q1,B01FROGCL4,Bob's Red Mill,Company,https://www.amazon.com/dp/B01FROGCL4,"Bob's Red Mill Organic Farro Grain, 25 Pound","Size: 25 Pound Bob's Red Mill Organic Faro, part of the Grains of Discovery line, is an ancient relative of wheat native to the Mediterranean. With a nutty flavor and chewy texture, Faro is lovely in stews, grain salads, pilafs, and ""Farrotto,"" (risotto made with Faro - see the recipe on the back of the bag). Ready to eat in just 30 minutes. Certified Organic by QAI.","About the product One, 25 pound bulk bag USDA Certified Organic; Vegan; Vegetarian; High in Fiber; Kosher Par eve Ancient grain 7g protein per serving Excellent source of dietary fiber More",Grocery & Gourmet Food › Pantry Staples › Dried Grains & Rice › Farro,,Yes,,Yes,Farro,USA,4.8,Amazon Products,,B01FROGCL4,0.372180482
0,Amazon USA,Lundberg Family Farms,Amazon USA,Amazon USA_20190523_120155,Product_20190523_75089,Product,Product,2019 Q1,B00IV7D6J6,Lundberg,Company,https://www.amazon.com/dp/B00IV7D6J6,LUNDBERG Gluten Free - Risotto Rstd Garlic Primavera,"A delicious wish-you-were-there Northern Italian dining experience! Delicious and rich, Lundberg Garlic Primavera Risotto blends Lundberg Eco-Farmed California Arborio rice, Parmesan cheese, roasted garlic, zucchini, carrots and red and green bell peppers. Low-fat and easy to prepare, this classic risotto goes from stovetop to table in just 20 minutes.","About the product A delicious wish-you-were-there Northern Italian dining experience! Delicious and rich, Lundberg Garlic Primavera Risotto blends Lundberg Eco-Farmed California Arborio rice, Parmesan cheese, roasted garlic, zucchini, carrots and red and green bell peppers Lundberg More","Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Risotto",,Yes,,Yes,General Rice,USA,,Amazon Products,,B00IV7D6J6,0.149253152
1,Amazon USA,Rice-A-Roni,Amazon USA,Amazon USA_20190523_125172,Product_20190523_80106,Product,Product,2019 Q1,B00JCWWACS,Rice A Roni,Company,https://www.amazon.com/dp/B00JCWWACS,"Rice A Roni, Long Grain & Wild Rice, 4.3oz Box (Pack of 6)","Rice A Roni, Long Grain & Wild Rice, 4.3oz Box (Pack of 6)",About the product Rice A Roni Long Grain & Wild Rice Original 4.3oz Box Pack of 6 More,Grocery & Gourmet Food › Pantry Staples › Dried Grains & Rice › Wild,,Yes,,Yes,General Rice;Wild Rice,USA,5,Amazon Products,,B00JCWWACS,0.857324084
0,Amazon USA,Flahavans,Amazon USA,Amazon USA_20190523_122802,Product_20190523_77736,Product,Product,2019 Q1,B00Z704EXW,Flahavans,Company,https://www.amazon.com/dp/B00Z704EXW,Flahavan's Irish Organic Jumbo Oats (1Kg) - Pack of 6,Flahavan's Irish Organic Jumbo Oats (1Kg),"About the product Please be aware that unless expressly indicated otherwise, Cooking Marvellous are not the the manufacturer of this product. Product packaging may vary from what is shown on this listing. We recommend that you do not rely solely on the information presented on our listing. Please always read the labels, warning and directions provided before using or consuming the product. More",Grocery & Gourmet Food › Breakfast Foods › Cereals › Oatmeal,,Yes,,Yes,Oats,USA,,Amazon Products,,B00Z704EXW,0.740834781
0,Amazon USA,Taiwan I MEI,Amazon USA,Amazon USA_20190523_126735,Product_20190523_81669,Product,Product,2019 Q1,B07BQ3WWB1,Taiwan I MEI,,https://www.amazon.com/dp/B07BQ3WWB1,Taiwan I-MEI Taiwan Brown Rice 1 Pack 1.5kg 義美義美糙米包1.5kg,MADE IN TAIWAN,,"Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Seasoned Rice",,Yes,,Yes,Wholegrain/Brown Rice,USA,,Amazon Products,,B07BQ3WWB1,0.927075208
0,Amazon USA,Archer Farms,Amazon USA,Amazon USA_20190523_124127,Product_20190523_79061,Product,Product,2019 Q1,B07HVS3JVK,Archer Farms,Brand,https://www.amazon.com/dp/B07HVS3JVK,"Archer Farms Saffron Rice 18oz, pack of 1",Contains: Does not contain any of the 8 major allergens,"About the product Price of 1 pack, total 18oz More","Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Seasoned Rice",,Nope;Yes,,Yes,General Rice,USA,,Amazon Products,,B07HVS3JVK,0.651033599
2,Amazon USA,thinkThin,Amazon USA,Amazon USA_20190523_128143,Product_20190523_83077,Product,Product,2019 Q1,B079158ZT9,thinkThin,Company,https://www.amazon.com/dp/B079158ZT9,"thinkThin Protein & Fiber Hot Oatmeal Cups 4 Flavor Sampler Bundle, (1) each: Farmer's Market Berry Crumble, Honey Peanut Butter, Madagascar Vanilla, Banana Bread (1.76 Ounces)","The thick, rich texture features whole rolled oats, steel cut oats and the super-grain quinoa, perfectly balanced with a mouthwatering assortment of sweet strawberries, blueberries and raspberries.",About the product No Wheat ingredients; Non-GMO Verified; Kosher 10g Protein per serving; 5g Fiber per serving Perfect for breakfast or as a snack; keep on hand at work or dorm Convenient 4 flavor sampler - 1 of each - lets you try flavors before comitting to a case This item is not a manufacturer-created variety pack and will not be sent in the original manufacturer’s packaging More,Grocery & Gourmet Food › Breakfast Foods › Cereals › Oatmeal,,Nope;Yes,,Yes,Oats,USA,1,Amazon Products,,B079158ZT9,0.765415831
1,Amazon USA,Stonewall Kitchen,Amazon USA,Amazon USA_20190523_120960,Product_20190523_75894,Product,Product,2019 Q1,B072C59DV3,Stonewall Kitchen,,https://www.amazon.com/dp/B072C59DV3,"Stonewall Kitchen Mushroom Risotto, 5.75 oz","Stonewall Kitchen Mushroom Risotto, 5.75 oz Originating in northern Italy, risotto has been satisfying discerning palates for centuries. Creamy and versatile, it can be enjoyed as a main course or as a flavorful side dish. Our authentic Mushroom Risotto Mix is made with arborio rice, savory mushrooms and herbs to give you a restaurant quality dish that’s easy to prepare at home. In Italy, risotto is normally a primo or first course served on its own before the main course but you can feel confident about serving our delicious Mushroom Risotto with grilled meats or chicken. The simple key to making our risotto “just right”, is starting with the best Arborio rice. Ours is long and plump and ready to slowly absorb all the flavor of the stock, herbs and mushrooms yet still remain al dente, the way it should be. About Stonewall Kitchen Founded in 1991 by partners Jonathan King and Jim Stott, the two established themselves selling jams and jellies at local farmers’ markets, fairs and festivals with their flavorful line of distinctive and high quality food items. Over time, they expanded their product line to include sauces, condiments, mustards and baking mixes. Today, products are sold in more than 6,000 wholesale accounts nationwide and internationally and through the company's 10 retail company stores and catalog and web divisions. Stonewall Kitchen is the winner of 29 prestigious awards from the Specialty Food Association and is a three time recipient of the coveted Outstanding Product Line award.","About the product Stonewall Kitchen Mushroom Risotto, 5.75 oz A delicious twist on traditional risotto and a must-have in your pantry Great as a main dish or served as a side Authentic and full flavored Made in the USA by the award winning Stonewall Kitchen brand of gourmet foods More","Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Risotto",,Yes,,Yes,General Rice,USA,5,Amazon Products,,B072C59DV3,0.71696973
0,Amazon USA,Eden,Amazon USA,Amazon USA_20190523_120263,Product_20190523_75197,Product,Product,2019 Q1,B005GX577C,Eden,Company,https://www.amazon.com/dp/B005GX577C,"Eden Foods Bean kann Butter NS, 15 Oz, pk- 12","EDEN FOODS BEAN CAN BUTTER NS, 15 OZ, PK- 12",,"Grocery & Gourmet Food › Pantry Staples › Dried Beans, Lentils & Peas › Beans › Black",,Nope;Yes,,Yes,Lima Beans,USA,,Amazon Products,,B005GX577C,0.277570661
25,Amazon USA,WW,Amazon USA,Amazon USA_20190523_121625,Product_20190523_76559,Product,Product,2019 Q1,B07M8DVRWC,WW,,https://www.amazon.com/dp/B07M8DVRWC,WW Maple Brown Sugar Instant Oatmeal - 3 SmartPoints - 2 Boxes (8 Count) - Weight Watchers Reimagined,,"About the product We’ve taken a classic and enriched it with 7 grams of protein, making this a delicious blend of whole grains, flax seeds, chia, and brown sugar Enjoy as a quick & easy breakfast - dig in as is or spice things up with a sprinkle of chopped nuts or slices of fresh banana You don't have to compromise on flavor to get the 7 grams of protein and 3 grams of fiber in this oatmeal cup Includes a total of 4 oatmeal cups - 2 cups per box Kosher, Vegan with no artificial flavors, colors, sweeteners, or preservatives More",Grocery & Gourmet Food › Breakfast Foods › Cereals › Oatmeal,,Yes,,Yes,Oats,USA,3.8,Amazon Products,,B07M8DVRWC,0.98081625
0,Amazon USA,Goya,Amazon USA,Amazon USA_20190523_125206,Product_20190523_80140,Product,Product,2019 Q1,B0719R9YLR,Goya,Company,https://www.amazon.com/dp/B0719R9YLR,Goya Mexican Rice 8 oz,"Goya Mexican Rice - Whole kernels of corn, bell pepper, onion, garlic and tasty bits of jalapeño in a mix of Goya long grain rice rich with chicken flavor. A perfect side dish to your favorite Tex-Mex.",About the product Top quality producy by Goya Ideal to have in your kitchen Perfect size A perfect side dish to your favorite Tex-Mex. More,"Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Seasoned Rice",,Yes,,Yes,General Rice,USA,,Amazon Products,,B0719R9YLR,0.38571626
0,Amazon USA,Tasty Bite,Amazon USA,Amazon USA_20190523_127202,Product_20190523_82136,Product,Product,2019 Q1,B01LZ4C5OC,Tasty Bite,Company,https://www.amazon.com/dp/B01LZ4C5OC,Tasty Bite Organic Brown Rice 250g (Pack of 2),"Every pack of tasty bite you take home began its long journey at our farm in India. Farm-fresh, hand-picked and expertly prepared by our fine chefs, each meal represents the delightful flavors and variety of Indian and pan-Asian cuisine.",About the product Great tasting All natural Easy to prepare More,"Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Seasoned Rice",,Yes,,Yes,Wholegrain/Brown Rice,USA,,Amazon Products,,B01LZ4C5OC,0.469322026
1,Amazon USA,Bob's Red Mill,Amazon USA,Amazon USA_20190523_126427,Product_20190523_81361,Product,Product,2019 Q1,B008N12J0C,Bob's Red Mill,Company,https://www.amazon.com/dp/B008N12J0C,"Bobs Red Mill Quick Cooking Steel Cut Oats, 22 Ounce (Pack of 4)","Quick Cooking Steel Cut Oats are simply whole oat groats that have been cut into neat little pieces on a specialized rotary granulator mill. Their robust oat flavor, texture and ease of preparation plus proven nutritious benefits and cholesterol reduction make them a perfect breakfast.",About the product Quick cooking More,Grocery & Gourmet Food › Breakfast Foods › Cereals › Oatmeal,,Yes,,Yes,Oats,USA,4,Amazon Products,,B008N12J0C,0.363424075
3,Amazon USA,Trader Joe's,Amazon USA,Amazon USA_20190523_126336,Product_20190523_81270,Product,Product,2019 Q1,B00BJDNQFI,Trader Joe's,Company,https://www.amazon.com/dp/B00BJDNQFI,Trader Joe's Organic Oats & Flax Instant Oatmeal,,,Grocery & Gourmet Food › Breakfast Foods › Cereals › Oatmeal,,Yes,,Yes,Oats,USA,4,Amazon Products,,B00BJDNQFI,0.709524508
0,Amazon USA,SOUL,Amazon USA,Amazon USA_20190523_126553,Product_20190523_81487,Product,Product,2019 Q1,B01G2DL110,SOUL,,https://www.amazon.com/dp/B01G2DL110,Soul Punjabi Choley - 300g,"Punjabi Choley forms an integral part of the northern Indian menu. A delicious chickpeas preparation relished all across the country for its spicy, tangy flavour. This dish is ideally served as an accompaniment with rice, naan bread or garlic bread.",About the product Soul Suitable for Vegetarians; Suitable for Vegans Free From Gluten *Please not Best Before/Expiration UK is DD/MM/YYYY More,,,Nope;Yes,,Yes,Chickpeas,USA,,Amazon Products,,B01G2DL110,0.167135367
14,Amazon USA,Quaker Oats,Amazon USA,Amazon USA_20190523_127816,Product_20190523_82750,Product,Product,2019 Q1,B000HQKV4M,Quaker,Company,https://www.amazon.com/dp/B000HQKV4M,"Near East Long Grain & Wild Rice Mix, Roasted Vegetable & Chicken (Pack of 12 Boxes)","This chicken-flavored dish blends long grain rice, wild rice and toasted orzo pasta with roasted carrots, tomatoes, red bell peppers, onion and garlic. Near East Long Grain & Wild Rice Roasted Vegetable & Chicken is Kosher Certified","About the product Chicken-flavored long grain rice, wild rice and toasted orzo pasta with roasted carrots, tomatoes, red bell peppers, onion and garlic Made with 100% natural, certified kosher ingredients Cooks in under 30 minutes Contains a blend of herbs and spices to create for an authentic flavor from around the world Make tonight special by creating an exciting dish with your favorite Near East product. Visit our website's Recipe section to find a simply delicious dish More","Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Pilaf",,Yes,,Yes,General Rice;Wild Rice,USA,3.6,Amazon Products,,B000HQKV4M,0.741615473
0,Amazon USA,Alessi,Amazon USA,Amazon USA_20190523_119941,Product_20190523_74875,Product,Product,2019 Q1,B01BHOUYH6,Alessi,Company,https://www.amazon.com/dp/B01BHOUYH6,"Alessi Milanese Risotto, 8-Ounce Packages (Pack of 6)","Italy is Europe's largest producer of rice. The wetlands and cool temperatures of the Lombardia region harbor ideal conditions for growing the special rice. Over the centuries, resourceful Italians developed a unique cooking technique combining rice with other ingredients common to their area, resulting in the classical Italian dish known as ""risotto"". The key ingredient for authentic risotto is Arborio rice. Arborio's characteristics and cooking properties allow it to absorb the flavors and to retain a certain firmness through the unique ""risotto"" cooking procedure. The texture and cooking properties of imported Arborio rice coupled with saffron, the world's most expensive spice and is the classic risotto dish of Milan. This robust, intensely flavored dish is the most highly regarded of all risottos and is usually served with meats cooked in a red or wine sauce like Osso Buco.","About the product Alessi Milanese Risotto Rice Delicious Rice spiced with saffron, the world's most expensive rice 6 - 8 ounce packages of the world's most delicious rice More","Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Risotto",,Yes,,Yes,General Rice,USA,,Amazon Products,,B01BHOUYH6,0.47278699
0,Amazon USA,Near East,Amazon USA,Amazon USA_20190523_120443,Product_20190523_75377,Product,Product,2019 Q1,B07D8171KC,Near East,Company,https://www.amazon.com/dp/B07D8171KC,"Pack of 24 - Near East Couscous Mix, Roasted Garlic & Olive Oil, 5.8 oz Box","This delicate and flavorful dish is made from 100% semolina wheat couscous combined with savory roasted garlic, onion and olive oil. Near East Couscous cooks in 5 minutes and is as versatile as it is convenient. Whether you serve it as a side dish, as the package directs, or in main dishes, you will find that Near East Couscous is a creative, quick, and delicous companion to the meals you create. Instructions: Range Top Directions1 In a medium saucepan, combine 1-1/4 cups water and 2 teaspoons olive oil or butter and contents of Spice Sack.2 Bring to a boil; stir in couscous.3 Cover; remove from heat. Let stand 5 minutes.4 Fluff couscous lightly with fork before serving.Makes 3 cups.Low Fat DirectionsFollow package directions, except omit olive oil or butter.High Altitude PreparationAt high altitude, increase water to 1-1/3 cups and stand time to 7 minutes. Microwave Directions1. In round 2-quart microwaveable glass casserole, combine 1-1/4 cups water, 2 teaspoons olive oil or butter and contents of Spice Sack.2. Cover; microwave at high5 to 6 minutes or until boiling.*3. Stir in couscous; cover; Let stand 5 minutes.4. Fluff couscous lightly with fork before serving.Low Fat DirectionsFollow package directions, except omit olive oil or butter.High Altitude PreparationAt high altitude, increase water to 1-1/3 cups and stand time to 7 minutes.*Microwave ovens may vary. Adjust times as needed.",,"Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Seasoned Rice",,Yes,,Yes,Couscous,USA,,Amazon Products,,B07D8171KC,0.591286482
0,Amazon USA,Peregrino,Amazon USA,Amazon USA_20190523_122492,Product_20190523_77426,Product,Product,2019 Q1,B0045EZJXU,Peregrino,,https://www.amazon.com/dp/B0045EZJXU,La Tienda Deluxe Paella Kit from Spain (Includes Paella Pan and Ingredients),"We love to celebrate with paella. This famous rice dish from Valencia feeds a crowd and is a lot of fun to prepare. You can adjust the ingredients to include your favorite fresh seafood, meats and vegetables. This beautifully packaged kit has everything you need to start cooking. Along with a premium stainless paella pan, we include special paella rice, real Spanish saffron, smoked paprika, extra virgin olive oil and fire roasted peppers. La Tienda's Deluxe Paella Set includes: 1. Bomba Rice from Calasparra D.O.(2.2 lbs.) - the ultimate rice for paella 2. Hand-picked Spanish Saffron (1 gram) 3. Super flavorful smoked pimenton paprika D.O.(2.47 oz) 4. Fire roasted Piquillo Pimientos (7 oz) from Lodosa - sweet and full of flavor 5. A bottle of extra virgin olive oil 6. Stainless steel paella pan with gold handles We have included two of our favorite recipes, newly tested and improved. Serves 6-8 people. Featured by Gwyneth Paltrow, star of PBS's 'Spain...on the Road Again"": 'A fun and different idea for a foodie.' (We may substitute products of equal quality for those shown in photo.)","About the product Everything you need for paella Fun to make, feeds a crowd 15"" stainless steel paella pan Beautiful box, great gift! NEW improved recipes included More","Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes › Paella",,Yes,,Yes,General Rice,USA,,Amazon Products,,B0045EZJXU,0.936584088
105,Amazon USA,Ottogi,Amazon USA,Amazon USA_20190523_121895,Product_20190523_76829,Product,Product,2019 Q1,B007Y9NH32,Ottogi,Company,https://www.amazon.com/dp/B007Y9NH32,"Ottogi Fresh Cooked White Rice, 7.40 oz, 12 Count",Size: Pack of 12 Made with high quality rice grains that are cooked under high pressure. The cooking process takes place in a sterile cleanroom to ensure the highest quality is delivered to the customer. Ottogi cooked rice can be stored for 8 months at room temperature.,"About the product DELICIOUS FRESH COOKED WHITE RICE, high quality rice grains are selected and cooked with the perfect amount of water, delivering the best tasting rice MADE WITH THE HIGHEST STANDARDS OF QUALITY, Ottogi cooked white rice is HACCP CERTIFIED and made with the highest standards of quality, giving you and your family delicious dishes you'll be happy to serve PRECOOKED AND READY TO SERVE IN 2 MINUES, Ottogi white rice is precooked in a sterile cleanroom at high pressure and temperature making it simple and easy for you to enjoy, microwave ready in 2 minutes CAN BE STORED FOR 8 MONTHS at room temperature, Ottogi's sterile cleanroom process keeps in the good while locking out the bad allowing you to safely store it for up to 8 months PERFECT FOR THE OFFICE, TRAVELING OR CARE PACKAGES TO LOVED ONES, Ottogi white rice is perfect to take on the go and even better when sent as a meal package to loved ones, Amazon will ship to any APO military address More","Grocery & Gourmet Food › Pantry Staples › Canned, Jarred & Packaged Foods › Packaged Meals & Side Dishes › Rice Dishes",,Yes,,Yes,White Rice,USA,4.6,Amazon Products,,B007Y9NH32,0.568823449
